Date,Slot,Station,Location,Type,Volume (seconds),Volume (minutes),Product,Brand,Industry,Market,,Slot Categories
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,327,5.45,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Morning : 9 AM - 12 PM
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,287,4.783333333,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Afternoon : 12 PM - 6PM
2025-03-04,Night,Radio Mirchi,Pune,advertisement,315,5.25,Ace Aster,Jhamtani Builders,Real Estate,Housing & Construction,,Night : 6 PM - 12 AM
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,227,3.783333333,Acko Insurance,Acko,Insurance,Finance - Insurance,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,171,2.85,Acko Insurance,Acko,Insurance,Finance - Insurance,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,133,2.216666667,Acko Insurance,Acko,Insurance,Finance - Insurance,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,30,0.5,Advisory Services,RBI,Banking,Public Services,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,29,0.4833333333,Advisory Services,RBI,Banking,Public Services,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,74,1.233333333,Branch Moshi,Federal Bank,Finance,Finance-Banking,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,101,1.683,Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,11,0.1833333333,Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,48,0.8,Cement,Chhetinad Cement,Construction,Building Material,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,108,1.8,Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,91,1.516666667,Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,57,0.95,Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,390,6.55,Concert,Arijit Singh,Entertainment,Miscellaneous,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,79,1.316666667,Concert,Arijit Singh,Entertainment,Miscellaneous,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,125,2.083333333,Construction & Development,Venkatesh buildcon,Real Estate,Housing,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,133,2.216666667,Construction & Development,Venkatesh buildcon,Real Estate,Housing,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,150,2.5,Construction & Development,Venkatesh buildcon,Real Estate,Housing,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,133,2.216666667,Diesel,Shell,Public Works,Petroleum Products,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,133,2.216666667,Diesel,Shell,Public Works,Petroleum Products,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,107,1.783333333,Diesel,Shell,Public Works,Petroleum Products,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,25,0.4166666667,EV Tech India Expo,EV Tech India,Automotive,Automotive,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,101,1.683333333,EV Tech India Expo,EV Tech India,Automotive,Automotive,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,41,0.6833333333,EVs,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,61,1.016666667,EVs,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,81,1.35,EVs,Tunwal E Motors,Automotive,Automobile-2wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,57,0.95,Electric Vehicle Exhibition,EV Expo,Automotive,Automotive - Electric Vehicles,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,79,1.316666667,Electric Vehicle Exhibition,EV Expo,Automotive,Automotive - Electric Vehicles,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,60,1,Electric Vehicle Exhibition,EV Expo,Automotive,Automotive - Electric Vehicles,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,186,3.1,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,25,0.4166666667,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,123,2.05,Epay Services,Bank of Baroda,Banking,Digital Payments,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,11,0.1833333333,Gaana App,Gaana,Entertainment,Music,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,11,0.1833333333,Gaana App,Gaana,Entertainment,Music,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,25,0.4166666667,Gaana App,Gaana,Entertainment,Music,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,4937,82.28333333,Galaxy S25 Ultra,Samsung,Technology,Electronics,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,696,11.6,Galaxy S25 Ultra,Samsung,Technology,Electronics,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,1478,24.63333333,Galaxy S25 Ultra,Samsung,Technology,Electronics,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,126,2.1,Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,180,3,Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,62,1.033333333,Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,63,1.05,Healthcare,Traffic update,Sumo General Insurance,Finance Insurance,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,82,1.366666667,Healthcare,Traffic update,Sumo General Insurance,Finance Insurance,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,422,7.033333333,Heart Clinic,Madhavbaug,Healthcare,Healthcare - Hospital,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,259,4.316666667,Heart Clinic,Madhavbaug,Healthcare,Healthcare - Hospital,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,305,5.083333333,Heart Clinic,Madhavbaug,Healthcare,Healthcare - Hospital,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,55,0.9166666667,Income Tax,Income Tax Department,Finance,Finance-Taxes,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,106,1.766666667,Jeevan Labh Policy,LIC,Insurance,Financial Services,,
2025-03-04,Afternoon,Radio Mirchi,Pune,advertisement,5,0.08333333333,Jeevan Labh Policy,LIC,Insurance,Financial Services,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,37,0.6166666667,Jeevan Labh Policy,LIC,Insurance,Financial Services,,
2025-03-04,Morning,Radio Mirchi,Pune,advertisement,40,0.6666666667,Jeevan Laksh Policy,LIC,Insurance,Financial Services,,
2025-03-04,Night,Radio Mirchi,Pune,advertisement,40,0.6666666667,Jeevan Laksh Policy,LIC,Insurance,Financial Services,,
