Date,Slot,Station,Location,Type,Volume (seconds),Volume (minutes),Product,Brand,Industry,Market,,Slot Categories
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,19,0.3166666667,Kapila Pashu Aahar (Cattle Feed),Kapila Pashu Aahar,Animal Nutrition,Agriculture and Livestock,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,20,0.3333333333,Kapila Pashu Aahar (Cattle Feed),Kapila Pashu Aahar,Animal Nutrition,Agriculture and Livestock,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,30,0.5,Knowlathon,Knowlathon,Education,Vocational Training & Schools,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,40,0.6666666667,Knowlathon,Knowlathon,Education,Vocational Training & Schools,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,117,1.95,Knowlathon,Knowlathon,Education,Vocational Training & Schools,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,100,1.666666667,Malabar Mangalsutra Collection,Malabar Gold & Diamond,Jewelry,Luxury Goods,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,120,2,Malabar Mangalsutra Collection,Malabar Gold & Diamond,Jewelry,Luxury Goods,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,95,1.583333333,Malabar Mangalsutra Collection,Malabar Gold & Diamond,Jewelry,Luxury Goods,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,120,2,Maruti Suzuki True Value Carnival,Maruti Suzuki,Automotive,Fair,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,240,4,Maruti Suzuki True Value Carnival,Maruti Suzuki,Automotive,Fair,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,280,4.666666667,Mirchi Holified Party,Mirchi,Entertainment,Music and Events,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,409,6.816666667,Mirchi Holified Party,Mirchi,Entertainment,Music and Events,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,271,4.516666667,Mirchi Holified Party,Mirchi,Entertainment,Music and Events,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,246,4.1,NSO Survey (National Statistical Office),Government of India,Government,Public Services and Data Collection,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,151,2.516666667,NSO Survey (National Statistical Office),Government of India,Government,Public Services and Data Collection,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,65,1.083333333,NSO Survey (National Statistical Office),Government of India,Government,Public Services and Data Collection,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,62,1.033333333,Nafarmaniyan,Pintu Ki Pappi,Entertainment,Movies,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,119,1.983333333,PNB Met Life Income Plan,PNB Met Life,Banking & Finance,Financial Services,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,263,4.383333333,PNB Met Life Income Plan,PNB Met Life,Banking & Finance,Financial Services,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,35,0.583333,Petsafa,Petsafa,FMCG,Medical Equipment & Supplies,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,163,2.716666667,Petsafa,Petsafa,FMCG,Medical Equipment & Supplies,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,41,0.6833333333,Petsafa,Petsafa,FMCG,Medical Equipment & Supplies,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,105,1.75,Royal Enfield Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,60,1,Royal Enfield Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,3707,61.78333333,Royal Enfield Classic 350 Motorbike,Royal Enfield,Automotive,Automotive - Two-Wheelers,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,286,4.766666667,SBI Life Platinum Supreme Insurance,SBI Life,Insurance,Finance - Insurance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,134,2.233333333,SBI Life Platinum Supreme Insurance,SBI Life,Insurance,Finance - Insurance,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,133,2.216666667,Shell Diesel,Shell,Public Works,Petroleum Products,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,135,2.25,Shell Diesel,Shell,Public Works,Petroleum Products,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,110,1.833333333,Shell Diesel,Shell,Public Works,Petroleum Products,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,81,1.35,Shemaroo Youtube Music Videos,Shemaroo Entertainment Ltd.,Entertainment,Music,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,60,1,Shemaroo Youtube Music Videos,Shemaroo Entertainment Ltd.,Entertainment,Music,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,92,1.533333333,Shemaroo Youtube Music Videos,Shemaroo Entertainment Ltd.,Entertainment,Music,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,14,0.2333333333,Sthal Movie,Sthal,Entertainment,Film and Media,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,277,4.616666667,Sumo General Insurance Traffic update,Sumo General Insurance,Sumo General Insurance,Finance Insurance,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,40,0.6666666667,Suzuki Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,264,4.4,Suzuki Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,61,1.016666667,Suzuki Gixxer Motorbike,Suzuki,Automotive,Automotive - Two Wheelers,,
2025-03-03,Morning,Radio Mirchi,Pune,advertisement,75,1.25,TGH Oncolife Cancer Centre,TGH,Healthcare,Services - Health,,
2025-03-03,Night,Radio Mirchi,Pune,advertisement,100,1.666666667,TGH Oncolife Cancer Centre,TGH,Healthcare,Services - Health,,
2025-03-03,Afternoon,Radio Mirchi,Pune,advertisement,156,2.6,TGH Oncolife Cancer Centre,TGH,Healthcare,Services - Health,,
