Content_Song,Sequential Airtime,Song Title,Artist Name,Album Name,Label Name,Release Year,Language
"Mudher Kanave,Bombay Jayashri, Harish Raghavendra & O. S. Arun,
Harris,Saregama,2001",05:35:52-05:38:47,Mudher Kanave,"Bombay Jayashri, Harish Raghavendra & O. S. Arun",Harris,Saregama,2001,Malayalam
"Enthanu Bhai,Rex Vijayan & Bijibal,Da Thadiya,Muzik247,2014",05:38:51-05:41:42,Enthanu Bhai,Rex Vijayan & Bijibal,Da Thadiya,Muzik247,2014,Malayalam
"Photo,Karan Sehmbi,Luka Chuppi,T-Series,2019",05:41:45-05:44:19,Photo,Karan Sehmbi,Luka Chuppi,T-Series,2019,Punjabi
"Kurumbathi Chundari Nee,Vineeth Sreenivasan,Ann Maria Kalippilaanu,Millennium Audios,2016",05:44:23-05:46:55,Kurumbathi Chundari Nee,Vineeth Sreenivasan,Ann Maria Kalippilaanu,Millennium Audios,2016,Malayalam
"Enoruvan,M. Jayachandran & Mohan Lal,Odiyan,Satyam Audios,2018",05:46:59-05:49:03,Enoruvan,M. Jayachandran & Mohan Lal,Odiyan,Satyam Audios,2018,Malayalam
"Vathilil,Gopi Sundar & Haricharan,Usthad Hotel,Satyam Audios,2012",05:49:06-05:51:59,Vathilil,Gopi Sundar & Haricharan,Usthad Hotel,Satyam Audios,2012,Malayalam
"Malare,Pravin Mani, Kaithapram, Shweta Mohan, Benny Ibarra, Bhargavi, Arjun Sasi & Anaitha Nair,By The People,Speed Audio,2005",05:52:03-05:55:22,Malare,"Pravin Mani, Kaithapram, Shweta Mohan, Benny Ibarra, Bhargavi, Arjun Sasi & Anaitha Nair",By The People,Speed Audio,2005,Malayalam
"Manivathil,Madhu Balakrishnan & Thulasi Yatheendran,Thappana,Manorama Music,2012",05:55:25-05:57:34,Manivathil,Madhu Balakrishnan & Thulasi Yatheendran,Thappana,Manorama Music,2012,Malayalam
"Paathira Kaalam,.Tribemama Marykali,Kurup,Sregama,2021",05:57:38-06:00:38,Paathira Kaalam,.Tribemama Marykali,Kurup,Sregama,2021,Malayalam
"Resamale,Rajesh Murugesan, Kapil Kapilan, Fazzy & Shabareesh Varma,United Kingdom Of Kerala,Fragrant Nature Film Creations,2025",06:02:21-06:05:34,Resamale,"Rajesh Murugesan, Kapil Kapilan, Fazzy & Shabareesh Varma",United Kingdom Of Kerala,Fragrant Nature Film Creations,2025,Malayalam
"Vishukili,K.S. Chithra & Sharreth,Ivan Megharoopan,Universal Music India Pvt.Ltd,2012",06:05:37-06:08:44,Vishukili,K.S. Chithra & Sharreth,Ivan Megharoopan,Universal Music India Pvt.Ltd,2012,Malayalam
"Karigalan,Surchith, Vijay Antony & Sangeetha Rajeshwaran,Vettaikaaran,Sony Music Entertainment India Pvt.Ltd,2009",06:09:41-06:12:15,Karigalan,"Surchith, Vijay Antony & Sangeetha Rajeshwaran",Vettaikaaran,Sony Music Entertainment India Pvt.Ltd,2009,Malayalam
"Maarante Pennalle,Christo Xavier, Yogisekar & Vaishak Sugunan,18",06:12:30-06:15:21,Maarante Pennalle,"Christo Xavier, Yogisekar & Vaishak Sugunan",18+,Thinkmusic,2023,Malayalam
"Khuda Oh Khuda,Shankar Mahadevan,Mr. Fraud,Muzik27,2014",06:16:35-06:19:46,Khuda Oh Khuda,Shankar Mahadevan,Mr. Fraud,Muzik247,2014,Hindi
"Husn Parcham,Bhoomi Trivedi, Raja Kumari & Ajay-Atul,Zero,T-Series,2018",06:19:51-06:22:21,Husn Parcham,"Bhoomi Trivedi, Raja Kumari & Ajay-Atul",Zero,T-Series,2018,Hindi
"Nee Himamazhayayi,Kailas Menon, K. S. Harisankar & Nithya Mammen,Edakkad Battalion 06,Millennium Audios,2019",06:22:37-06:25:45,Nee Himamazhayayi,"Kailas Menon, K. S. Harisankar & Nithya Mammen",Edakkad Battalion 06,Millennium Audios,2019,Malayalam
"Anuraghathin Velayil,Shaan Rahman & Vineeth Sreenivasan,Thattathin Marayathu,Satyam Audios,2012",06:25:49-06:28:40,Anuraghathin Velayil,Shaan Rahman & Vineeth Sreenivasan,Thattathin Marayathu,Satyam Audios,2012,Malayalam
"Manasilaayo,Anirudh Ravichander, Malaysia Vasudevan, Deepthi Suresh & Yugendran Vasudevan,Vettaiyan,Sony Music Entertainment India Pvt.Ltd,2024",06:30:05-06:33:09,Manasilaayo,"Anirudh Ravichander, Malaysia Vasudevan, Deepthi Suresh & Yugendran Vasudevan",Vettaiyan,Sony Music Entertainment India Pvt.Ltd,2024,Malayalam
"EdaKochi Ishq,Justin Varghese, Shikha Prabhakaran & Suhail Koya,Daveed,Think Music,2025",06:33:13-06:36:34,EdaKochi Ishq,"Justin Varghese, Shikha Prabhakaran & Suhail Koya",Daveed,Think Music,2025,Malayalam
"En Roja Neeye, Hesham Abdul Wahab & Arun Alat,Kushi,T-Series,2018",06:38:01-06:40:22,En Roja Neeye,Hesham Abdul Wahab & Arun Alat,Kushi,T-Series,2018,Malayalam
"Kathorthu Kathorthu,Unni Menon & Ranjin Raj,Karnan Napoleon Bhagat Singh,Muzik247,2020",06:40:26-06:43:17,Kathorthu Kathorthu,Unni Menon & Ranjin Raj,Karnan Napoleon Bhagat Singh,Muzik247,2020,Malayalam
"Main Ki Karaan?,Pritam, Sonu Nigam & Romy,Laal Singh Chaddha,T-Series,2022",06:44:48-06:47:33,Main Ki Karaan?,"Pritam, Sonu Nigam & Romy",Laal Singh Chaddha,T-Series,2022,Hindi
"Up All Night ,James Bay,Change All The Time,Mercury Records,2024",06:49:37-06:52:43,Up All Night,James Bay,Change All The Time,Mercury Records,2024,English
"song:Oruthi,Bheemante Vazhi,Vishnu Vijay,OPM Records,2021",06:52:45-06:55:38,,,,,,
"Kannil Umma Vechu Paadaam,Vidyasagar, Gireesh Puthenchery, Vidhu Prathap & Sujatha,Alice In Wonderland,Thomsum Music,2002",06:55:41-06:58:17,Kannil Umma Vechu Paadaam,"Vidyasagar, Gireesh Puthenchery, Vidhu Prathap & Sujatha",Alice In Wonderland,Thomsum Music,2002,Malayalam
"Kootti Muttiya,M. G. Sreekumar & Sujatha,Pullippulikalum Attinkuttyum,East Cost AudioEntertainments,2013",06:58:21-07:01:13,Kootti Muttiya,M. G. Sreekumar & Sujatha,Pullippulikalum Attinkuttyum,East Cost AudioEntertainments,2013,Malayalam
"Mamboo Manamithaa,Kapil Kapilan, Sreenanda Sreekumar & Bibin Ashok,Thanupp,Manorama Music,2024",07:03:00-07:06:15,Mamboo Manamithaa,"Kapil Kapilan, Sreenanda Sreekumar & Bibin Ashok",Thanupp,Manorama Music,2024,Malayalam
"Ee Thalavara,Amritha Jayakumar, Fejo, P. S. Jayhari & Engandiyoor Chandrasekharan,Athiran,Manorama Music,2019",07:06:18-07:09:09,Ee Thalavara,"Amritha Jayakumar, Fejo, P. S. Jayhari & Engandiyoor Chandrasekharan",Athiran,Manorama Music,2019,Malayalam
"Hatja,Vishnu Vijay, K.S. Harisankar & Suhail Koya,Alappuzha Gymkhana,Think Music,2025",07:10:39-07:13:26,Hatja,"Vishnu Vijay, K.S. Harisankar & Suhail Koya",Alappuzha Gymkhana,Think Music,2025,Malayalam
"Damakku Damakku, Harris Jayaraj & Benny Dayal,Aadhavan,Sony Music Entrtainment India Pvt.Ltd,2009",07:15:38-07:18:45,Damakku Damakku,Harris Jayaraj & Benny Dayal,Aadhavan,Sony Music Entrtainment India Pvt.Ltd,2009,Malayalam
"Chembavu,Pushpavathy,Salt&Pepper,Manorama Music,2011",07:20:14-07:23:20,Chembavu,Pushpavathy,Salt&Pepper,Manorama Music,2011,Malayalam
"Nilavum,Vidyasagar&harichandran,Ennum Eppozhum,satyam Audios,2015",07:23:24-07:25:57,Nilavum,Vidyasagar&harichandran,Ennum Eppozhum,satyam Audios,2015,Malayalam
"Tumse Bhi Zyada,Pritam & Arijit Singh,Tadap,T-Series,2021",07:29:04-07:32:07,Tumse Bhi Zyada,Pritam & Arijit Singh,Tadap,T-Series,2021,Hindi
"Nenjodu Vinaa ,4 Musics, Dhanush & Biby Mathew,Brother's Day,Magic Frames Music,2019",07:32:11-07:34:50,Nenjodu Vinaa,"4 Musics, Dhanush & Biby Mathew",Brother's Day,Magic Frames Music,2019,Malayalam
"Kaattaadi Thanalum,Alex Paul, Vidhu Prathap, Cicily, Reju Joseph & Ramesh Babu,Classmates,Satyam Audios,2008",07:36:01-07:38:25,Kaattaadi Thanalum,"Alex Paul, Vidhu Prathap, Cicily, Reju Joseph & Ramesh Babu",Classmates,Satyam Audios,2008,Malayalam
"Choolamadikkada, Sam C.S. & Vinayak Sasikumar,Kondal,Saregama India Ltd,2024",07:38:28-07:41:24,Choolamadikkada,Sam C.S. & Vinayak Sasikumar,Kondal,Saregama India Ltd,2024,Malayalam
"Ae Pulla,A.R.Rahman,&Sid Sriram,Lal Salaam,Sony Music Entertainment India Pvt.Ltd,2024",07:44:05-07:46:58,Ae Pulla,"A.R.Rahman, &Sid Sriram",Lal Salaam,Sony Music Entertainment India Pvt.Ltd,2024,Malayalam
"Cheth Song ,Vishnu Vijay, Aparna Harikumar, Padmaja Sreenivasan, Indu Sanath & Vinayak Sasikumar,Pravinkoodu Shappu,Sony Music Entertainment India Pvt.Ltd,2025",07:48:18-07:51:26,Cheth Song,"Vishnu Vijay, Aparna Harikumar, Padmaja Sreenivasan, Indu Sanath & Vinayak Sasikumar",Pravinkoodu Shappu,Sony Music Entertainment India Pvt.Ltd,2025,Malayalam
"Tauba Tauba,Karan Aujla,Bad Newz,Saregama India Ltd,2024",07:53:46-07:57:10,Tauba Tauba,Karan Aujla,Bad Newz,Saregama India Ltd,2024,Punjabi
"Evangeline,Stephen Sanchez,Angel Face,Mercury Records/Republic Records,2023",07:57:13-07:59:56,Evangeline,Stephen Sanchez,Angel Face,Mercury Records/Republic Records,2023,English
"Vaazha Anthem,
Nomadic Voice,
Vaazha,
Think Music, 2024",08:01:13-08:03:51,Vaazha Anthem,Nomadic Voice,Vaazha,Think Music,2024,Malayalam
"Ee Thanutha,
Vidyasagar,Karthik & Swetha Mohan,
Anarkali,
Satyam Audios,2015",08:03:53-08:05:52,Ee Thanutha,"Vidyasagar, Karthik & Swetha Mohan",Anarkali,Satyam Audios,2015,Malayalam
"Enikku Paadanoru,
M.Jayachandran&Sainoj,
Iver Vivahitharayal,
Satyam Audios,
2008",08:06:55-08:10:02,Enikku Paadanoru,M.Jayachandran&Sainoj,Iver Vivahitharayal,Satyam Audios,2008,Malayalam
"Veyil Chilla,
Vishnu Mohan,
Zachariyayude Garbinikal,
Muzik247,
2013",08:14:15-08:16:56,Veyil Chilla,Vishnu Mohan,Zachariyayude Garbinikal,Muzik247,2013,Malayalam
"Pagal Iravai Maraigirai,
Pranav Das,
2021",08:18:25-08:21:32,Pagal Iravai Maraigirai,,Pagal Iravai Maraigirai,Pranav Das,2021,Malayalam
"Kannoram Chingaram,
Shreya Ghoshal & Murugan Kattakkada,
Rathinirvedam,
Manorama Music, 2011",08:21:36-08:24:10,Kannoram Chingaram,Shreya Ghoshal & Murugan Kattakkada,Rathinirvedam,Manorama Music,2011,Malayalam
"Lailakame,
Haricharan,
Ezra,
Muzik247,
2016",08:27:34-08:30:42,Lailakame,Haricharan,Ezra,Muzik247,2016,Malayalam
"Raabta,
Pritam, Hamsika & Arijit Singh,
Agent Vinod,
T Series, 2012",08:30:48-08:33:40,Raabta,"Pritam, Hamsika & Arijit Singh",Agent Vinod,T Series,2012,Hindi
"Kilukilukkaam Cheppe,
S P Venkadesh, K J Yesudas & K S Chithra,
Priyappetta Kukku,
Johny Sagariga,
1992",08:34:36-08:37:17,Kilukilukkaam Cheppe,"S P Venkadesh, K J Yesudas & K S Chithra",Priyappetta Kukku,Johny Sagariga,1992,Malayalam
"Oru Venal Puzhayil,
Ousephachan & Ranjith Govind,
Pranayakaalam,
Satyam Audio, 2008",08:37:20-08:39:52,Oru Venal Puzhayil,Ousephachan & Ranjith Govind,Pranayakaalam,Satyam Audio,2008,Malayalam
"Jeevithagaadhakale,
Amrit Ramnath, K S Chithra, Sreevalsan, J Menon, & Mithun Jayaraj,
Varshangalkku Shesham,
Think Music, 2024",08:42:36-08:45:20,Jeevithagaadhakale,"Amrit Ramnath, K S Chithra, Sreevalsan, J Menon, & Mithun Jayaraj",Varshangalkku Shesham,Think Music,2024,Malayalam
"Aga Naga,
A R Rahman & Shakthisree Gopalan,
Ponniyan Selvan,
Tips Industries Ltd,
2023",08:46:42-08:50:05,Aga Naga,A R Rahman & Shakthisree Gopalan,Ponniyan Selvan,Tips Industries Ltd,2023,Malayalam
"Mazhavillile,
Vishnu Vijay & Mu.Ri
Falimy,
Think Music, 2023",08:53:38-08:56:36,Mazhavillile,,"Vishnu Vijay & Mu.Ri
Falimy",Think Music,2023,Malayalam
"Doobey,
OAFF, Savera, Sickflip, Lothika & Kausar Munir,
Gehraiyaan,
Sony Music Entertainments India Pvt Ltd, 2022",08:56:36-08:59:30,Doobey,"OAFF, Savera, Sickflip, Lothika & Kausar Munir",Gehraiyaan,Sony Music Entertainments India Pvt Ltd,2022,Hindi
"Naadake Nadakam,
Dawn Vincent,Aloshi Adams,Sannidhandan,
Ashok Ponnappan,Subramanian K V &Raji,
Sureshanteyum Sumalathayudeyum Hrudayahariyaya 
Pranayakadha,
Sony Music Entertainment India Ltd.,2024",09:00:57-09:03:56,Naadake Nadakam,"Dawn Vincent, Aloshi Adams, Sannidhandan, Ashok Ponnappan, Subramanian K V &Raji","Sureshanteyum Sumalathayudeyum Hrudayahariyaya 
Pranayakadha",Sony Music Entertainment India Ltd.,2024,Malayalam
"Thiruvaavaniraavu,
Unni Menon,Sithara Krishnakumar &
Meera Scharma,
Hits Of Sithara Krishnakumar,
Muzik247,2016",09:03:59-09:06:52,Thiruvaavaniraavu,"Unni Menon, Sithara Krishnakumar &
Meera Scharma",Hits Of Sithara Krishnakumar,Muzik247,2016,Malayalam
"Peeli Kannezhuth,
Johnson,G.Venugopal & K.S. Chithra,
Sneha Sagaram,
Satyam Audios,1992",09:08:18-09:10:52,Peeli Kannezhuth,"Johnson, G.Venugopal & K.S. Chithra",Sneha Sagaram,Satyam Audios,1992,Malayalam
"Thumbikkalayaanathinu,
Berny-lgnatius,M.G. Sreekumar & Sujatha,
Kalyaana Raman,
Satyam Audios,2001",09:13:17-09:15:24,Thumbikkalayaanathinu,"Berny-lgnatius, M.G. Sreekumar & Sujatha",Kalyaana Raman,Satyam Audios,2001,Malayalam
"Vaathil Melle,
Sachin Warrier,
Neram.
Think Music,2013",09:16:37-09:19:44,Vaathil Melle,,Sachin Warrier,"Neram.
Think Music",2013,Malayalam
"Aathi adi Aathi,
G.V.Prakash Kumar ,Sadhika K R &
Vivek,
Veera Dheera Sooran,
Think Music,2025",09:19:48-09:22:12,Aathi adi Aathi,"G.V.Prakash Kumar, Sadhika K R &
Vivek",Veera Dheera Sooran,Think Music,2025,Malayalam
"Kandu Kandu Kandilla,
Mohan Sithara,
Ishtam,
Satyam Audios,2001",09:24:24-09:27:14,Kandu Kandu Kandilla,Mohan Sithara,Ishtam,Satyam Audios,2001,Malayalam
"Kannimalare Kanninazhake,
Gayathri Suresh,deepak Dev & Najim Arshad,
Ithihasa,
East Coast Audio Entertainments,2014",09:27:17-09:29:59,Kannimalare Kanninazhake,"Gayathri Suresh, deepak Dev & Najim Arshad",Ithihasa,East Coast Audio Entertainments,2014,Malayalam
"Rajha,
Jasleen Royal & B.Praak,
Shershaah,
Sony Music Entertainment India Pvt Ltd,2021",09:30:57-09:34:01,Ranjha,Jasleen Royal & B.Praak,Shershaah,Sony Music Entertainment India Pvt Ltd,2021,Hindi
"Aanne,
Kailas Menon,Dabzee,Athul Narukara &
Sruthy Sivadas,,
Little Hearts,
sony Music Entertainment Inida Pvt Ltd,2024",09:34:04-09:37:09,Aanne,"Kailas Menon, Dabzee, Athul Narukara &
Sruthy Sivadas, ",Little Hearts,sony Music Entertainment Inida Pvt Ltd,2024,Malayalam
"Hey Madhuchandrike,
Vijay Yesudas,
Argentina Fans Kaattoorkadavu,
Muzik247,2019",09:39:09-09:42:02,Hey Madhuchandrike,Vijay Yesudas,Argentina Fans Kaattoorkadavu,Muzik247,2019,Malayalam
"Ethrayo,
Vidyasagar,Srinivas & Sujatha,
Summer In Bathlehem,
Satyam Audios,1998",09:42:51-09:45:24,Ethrayo,"Vidyasagar, Srinivas & Sujatha",Summer In Bathlehem,Satyam Audios,1998,Malayalam
"Whistle Pode,
Thalapathy Vijay & Yuvan Shankar Raja,
The Greatest Of All Time,
T-Series,2024",09:48:43-09:51:49,Whistle Pode,Thalapathy Vijay & Yuvan Shankar Raja,The Greatest Of All Time,T-Series,2024,Malayalam
"Manathu Udichathu,
Najeem Arshad & Saptaparna Chakraborthy,
Immanuel,
Muzik247,2014",09:51:52-09:54:15,Manathu Udichathu,Najeem Arshad & Saptaparna Chakraborthy,Immanuel,Muzik247,2014,Malayalam
"Shehzada,
Pritam, Sonu Nigam & Mayur Puri,
Shehzada,
T-Series,2023",09:54:18-09:57:23,Shehzada,"Pritam, Sonu Nigam & Mayur Puri",Shehzada,T-Series,2023,Hindi
"Sink Or Swim,
One Republic,
Super Deluxe,
Mosley Music/interscope Records,2024",09:57:26-09:57:55,Sink Or Swim,One Republic,Super Deluxe,Mosley Music/interscope Records,2024,English
"Eyy Banana,
Electronic Kili & VInayak Sasikumar,
Vaazha,
Think Music,2024",10:01:47-10:04:56,Eyy Banana,Electronic Kili & VInayak Sasikumar,Vaazha,Think Music,2024,Malayalam
"Let Me Down Slowly,
Alec Benjamin,
Narrated for You,
2018",10:06:30-10:09:15,Let Me Down Slowly,,Alec Benjamin,Narrated for You,2018,English
"Kadukumanikkoru Kannundu,
Sithara & Krishnakumar,
Kappela,
Millennium audios,2020",10:12:30-10:14:03,Kadukumanikkoru Kannundu,Sithara & Krishnakumar,Kappela,Millennium audios,2020,Malayalam
"Olikkunnuvo,
Raveendran & K.J Yesudas,  
Chambakulam Thachan,
Satyam Audios,1992",10:16:04-10:18:44,Olikkunnuvo,Raveendran & K.J Yesudas,Chambakulam Thachan,Satyam Audios,1992,Malayalam
"Rasoolallah,
Mohd.Maqbool Mansoor,
Salalah Mobiles,
Muzik247,2014",10:18:49-10:21:53,Rasoolallah,Mohd.Maqbool Mansoor,Salalah Mobiles,Muzik247,2014,Malayalam
"Ullaallaa,
Nakash Aziz & Inno Genga,
Petta,
Sony Music Entertainment India Pvt.Ltd,2018",10:25:13-10:28:36,Ullaallaa,Nakash Aziz & Inno Genga,Petta,Sony Music Entertainment India Pvt.Ltd,2018,Malayalam
"Ponnaavanippadam,
Madhu Balakrishnan, Manjari & Gireesh Puthencherry,
Rasathanthram,
Manorama Music,2005",10:28:41-10:31:11,Ponnaavanippadam,"Madhu Balakrishnan, Manjari & Gireesh Puthencherry",Rasathanthram,Manorama Music,2005,Malayalam
"Baby Baby,
Justin Varghese,Lalitha Vijayakumar,
Himma Hilari & Hinitha Hilary,
Think Music,2025",10:33:14-10:36:49,Baby Baby,"Justin Varghese, Lalitha Vijayakumar",Himma Hilari & Hinitha Hilary,Think Music,2025,Malayalam
"Malarithal,
K.S. Yesudas,
Ente Kaanakuyil,
Tharangini Sound of Arts,1985",10:36:51-10:39:07,Malarithal,K.S. Yesudas,Ente Kaanakuyil,Tharangini Sound of Arts,1985,Malayalam
"Udi,
Sunidhi Chauhan & Shail Hada,
Guzaarish,
T-Series,2010",10:43:29-10:46:24,Udi,Sunidhi Chauhan & Shail Hada,Guzaarish,T-Series,2010,Hindi
"Kutty Kudiye,
Vishnu Vijay, Suhail Koya & 
Sanjith Hedge,
Premalu,
Bhavana Studios,2024",10:48:38-10:51:28,Kutty Kudiye,"Vishnu Vijay, Suhail Koya & 
Sanjith Hedge",Premalu,Bhavana Studios,2024,Malayalam
"Hey Penne,
Nandhagopan V, Adithya RK & Vinayak Sasikumar,
Haal,
Think Music,2025",10:54:57-10:58:57,Hey Penne,"Nandhagopan V, Adithya RK & Vinayak Sasikumar",Haal,Think Music,2025,Malayalam
"Chuttamalle,
Anirudh Ravichander,Shilpa Rao &
Ramajogayya Sastry,
Devara Part 1,
T-Series,2024",11:00:00-11:02:29,Chuttamalle,"Anirudh Ravichander, Shilpa Rao &
Ramajogayya Sastry",Devara Part 1,T-Series,2024,Malayalam
"Mouna Sundari,
Vidyasagar,Karthik,Mridula Warrier &
Vinayak Sasikumar,
Gopurangal,
Muzik247,2023",11:04:32-11:07:15,Mouna Sundari,"Vidyasagar, Karthik, Mridula Warrier &
Vinayak Sasikumar",Gopurangal,Muzik247,2023,Malayalam
"Sher Khul Gaye,
VIshal & Shekhar,Benny Dayal,Shilpa Rao & Kumar,
Flighter,
T-Series,2023",11:09:04-11:11:50,Sher Khul Gaye,"VIshal & Shekhar, Benny Dayal, Shilpa Rao & Kumar",Flighter,T-Series,2023,Hindi
"Show Pony,
Glass Animals,
I Love You So F**ing Much,
Polydor Records,2024",11:13:57-11:17:08,Show Pony,Glass Animals,I Love You So F**ing Much,Polydor Records,2024,English
"Gandharva Ganam,
Rex Vijayan,Shweta Mohan,Sooraj Santhosh&
Vinayak Sasikumar,
Rifle Club,
Think Music,2024",11:19:10-11:22:31,Gandharva Ganam,"Rex Vijayan, Shweta Mohan, Sooraj Santhosh&
Vinayak Sasikumar",Rifle Club,Think Music,2024,Malayalam
"Ente Ellam Ellam Alle,
Vidyasagar,K.J.Yesudas&Sujatha,
Meesamadhavan,
Satyam Audios,2002",11:22:35-11:25:38,Ente Ellam Ellam Alle,"Vidyasagar, K.J.Yesudas&Sujatha",Meesamadhavan,Satyam Audios,2002,Malayalam
"Theliveyil,
Sudeep Kumar&Sangeetha Sreekanth,
Super 10,
Muzik247,2016",11:28:53-11:31:37,Theliveyil,Sudeep Kumar&Sangeetha Sreekanth,Super 10,Muzik247,2016,Malayalam
"Kathala Kannala,
Naveen Madhav,
Anjathe,
Divo Tv Private Limited,2020",11:31:42-11:34:51,Kathala Kannala,Naveen Madhav,Anjathe,Divo TV Pvt Ltd,2020,Malayalam
"Arbhadam,
Justin Varghese,Zia UI Haq & Suhail Koya,
Ponman,
Tthink Music,2025",11:36:19-11:39:35,Arbhadam,"Justin Varghese, Zia UI Haq & Suhail Koya",Ponman,Thinkmusic,2025,Malayalam
"Poomkattinodum,
K.J. Yesudas, & Janaki,
Poomugha Padivathukal Nineyum Kaathu,
1986",11:39:39-11:42:08,Poomkattinodum,K.J. Yesudas,& Janaki,Poomugha Padivathukal Nineyum Kaathu,1986,Malayalam
"Akalayo Nee,
Vijay Yesudas,
Grandmaster,
2012",11:44:15-11:47:32,Akalayo Nee,Vijay Yesudas,Grandmaster,,2012,Malayalam
"Khairiyat,
Pritam & Arijit Singh,
Happy,
T-Series,2019",11:49:17-11:52:11,Khairiyat,Pritam & Arijit Singh,Happy,T-Series,2019,Hindi
"Karukavayal,
S.P. Venkitesh, Mammooty,Gouthamy & Chitra,
Dhruvam,
1993",11:54:18-11:56:25,Karukavayal,"S.P. Venkitesh, Mammooty",Gouthamy & Chitra,Dhruvam,1993,Malayalam
"Chikki Chikki,
Govind Vasantha,
Little Miss Rawther,
Wonderwall Records,2023",11:56:28-11:57:40,Chikki Chikki,Govind Vasantha,Little Miss Rawther,Wonderwall Records,2023,Malayalam
"Vazhithunaiye,
Leon James,SId Sriram,Sanjana Kalmanje &
Vignesh Shivam,
Dragon,
Think Music,2025",11:57:44-12:00:08,Vazhithunaiye,"Leon James, SId Sriram, Sanjana Kalmanje &
Vignesh Shivam",Dragon,Think Music,2025,Malayalam
"Neon Ride,
Baby Jean,Zeba Tommy,Ramya Ramc &
Jakes Bejoy,
Officer on Duty,
Saregama India Ltd,
2025",12:03:13-12:06:14,Neon Ride,"Baby Jean, Zeba Tommy, Ramya Ramc &
Jakes Bejoy",Officer on Duty,Saregama India Ltd,2025,Malayalam
"The Tholvi Song,
The Humble Musician,
Tholvi F.C,
Think Munsic,2023",12:07:49-12:10:03,The Tholvi Song,The Humble Musician,Tholvi F.C,Think Music,2023,Malayalam
"In Raahon Mein,
Arijith Singh,Shankar Ehsaan Loy & Javed Akhtar,
The Archies,
Sony Music Entertainment,2023",12:12:52-12:15:34,In Raahon Mein,"Arijith Singh, Shankar Ehsaan Loy & Javed Akhtar",The Archies,Sony Music Entertainment,2023,Hindi
"Tough,
Quavo & Lana Del Ray,
Quality Control Music/Motown Records,2024",12:17:29-12:20:31,Tough,Quavo & Lana Del Ray,Single,Quality Control Music/Motown Records,2024,English
"Mankoodi,
Jakes Bejoy & Keshav Vinod,
Kuruthi,
Goodwilll Entertainments,2021",12:20:37-12:23:12,Mankoodi,Jakes Bejoy & Keshav Vinod,Kuruthi,Goodwill Entertainments,2021,Malayalam
"Chaandukudanjoru,
Vidyasagar,Shahabaz Aman & Sujatha,
Chandupottu,
Satyam Studios,2002",12:24:49-12:27:19,Chaandukudanjoru,"Vidyasagar, Shahabaz Aman & Sujatha",Chandupottu,Satyam Studios,2002,Malayalam
"Hemanthamen,
Vijay Yesudas,
Kohinoor,
Muzik247,2015",12:27:22-12:30:24,Hemanthamen,Vijay Yesudas,Kohinoor,Muzik247,2015,Malayalam
"Pon Veena,
M.G. Sreekumar,
Thalavattom,
Millennium Audios,1986",12:32:02-12:34:36,Pon Veena,M.G. Sreekumar,Thalavattom,Millennium Audios,1986,Malayalam
"Urugudhu Urugudhu,
Justin Prabhakaran,Kapil Kapilan &
Shreya Ghoshal, Thamarai,
Ace,
Think Music,2025",12:34:39-12:38:22,Urugudhu Urugudhu,"Justin Prabhakaran, Kapil Kapilan &
Shreya Ghoshal, Thamarai",Ace,Think Music,2025,Malayalam
"Vadakku Dikkiloru,
Samuel Aby,Vineeth Sreenivasan,Sithara Krishnakumar &
Manu Manjith,
Anpodu Kanmani,
123 Musix Entertainments Pvt Ltd,2024",12:40:07-12:42:55,Vadakku Dikkiloru,"Samuel Aby, Vineeth Sreenivasan, Sithara Krishnakumar &
Manu Manjith",Anpodu Kanmani,123 Musix Entertainments Pvt Ltd,2024,Malayalam
"Ramayanakatte,
Raveendran,Kaithapram,M.G. Sreekumar & K.S. Chithra,
Speed Audio,2023",12:45:00-12:47:35,Ramayanakatte,"Raveendran, Kaithapram",M.G. Sreekumar & K.S. Chithra,Speed Audio,2023,Malayalam
"Binte Dil,
Arijith SIngh,
Padmaavat,
T-Series,2018",12:50:29-12:53:17,Binte Dil,Arijith SIngh,Padmaavat,T-Series,2018,Hindi
"Halaballoo,
Benny Dayal,Naresh lyer,Ranjith Govind,Sam C.S.&
Manu Manjith,
RDX,
Saregama,2023",12:53:20-12:56:33,Halaballoo,"Benny Dayal, Naresh lyer, Ranjith Govind, Sam C.S.&
Manu Manjith",RDX,Saregama,2023,Malayalam
"Poove Oru Mazhamutham,
Fahad & Biju,
Kaiyethum Doorathu,
East Coast Audio Entertainments,1997",12:56:35-12:59:24,Poove Oru Mazhamutham,Fahad & Biju,Kaiyethum Doorathu,East Coast Audio Entertainments,1997,Malayalam
"God Bless U,
Anirudh Ravichander,Paal Dabba,G.V. Prakash Kumar &
Rokesh,
T-Series,2025",13:01:03-13:03:36,God Bless U,"Anirudh Ravichander, Paal Dabba, G.V. Prakash Kumar &
Rokesh",,T-Series,2025,Malayalam
"Katchi Sera,
Sai Abhyankkar,
Think Indie ,
Think Music,2024",13:05:18-13:08:02,Katchi Sera,Sai Abhyankkar,Think Indie,Think Music,2024,Malayalam
"Phir Zinda,
Deepak Dev,Anand Bhaskar &
Nabar,
Empuraan,
Aashivad Cinemas,2025",13:11:14-13:13:54,Phir Zinda,"Deepak Dev, Anand Bhaskar &
Nabar",Empuraan,Aashirvad Cinemas,2025,Hindi
